Problem  %Solved  Lost Partial
1997 B4   17.56   0.56   0.08
2006 B4   16.67   0.45   0.21
2009 A5   16.00   0.22   0.11
2002 B5   15.71   0.30   0.02
2001 A5   15.50   0.94   0.35
2008 B3   15.34   0.45   0.23
2012 B4   14.81   0.11   0.04
2002 B3   14.76   0.03   0.35
1997 B2   14.63   0.10   0.03
2015 B5   14.07   0.57   0.13
2003 A6   13.93   0.50   0.10
2003 A5   13.93   0.07   0.08
2005 A4   13.78   0.52   0.04
2003 A4   11.94   0.58   0.90
2006 A5   11.11   0.41   0.09
2014 B4   11.05   0.48   0.08
2005 A3   10.71   0.57   0.09
2000 B4   10.26   0.35   0.07
2005 A5   10.20   0.50   0.03
2004 B5   10.20   0.25   0.10
2015 A5   10.05   0.65   0.27
2005 B6    9.69   0.11   0.03
2008 A6    9.52   0.50   0.16
1996 A6    9.22   1.37   0.26
2010 A6    9.04   0.53   0.05
2003 A3    8.96   0.83   0.04
2011 B5    8.63   0.41   0.03
1996 A4    8.25   1.24   0.17
2004 A5    8.16   0.25   0.00
2002 B6    8.10   0.82   0.05
1998 A6    8.04   0.44   0.08
2001 B6    8.00   0.56   0.02
2008 B6    7.94   0.20   0.07
2012 B6    7.94   0.00   0.09
1997 B5    7.80   0.62   0.31
2011 A3    7.61   0.40   0.33
2013 B5    7.46   0.27   0.05
2000 A4    7.18   0.43   0.08
2004 A6    7.14   0.79   0.01
2009 B5    7.00   0.71   0.04
1997 B6    6.83   1.00   0.03
2007 A5    6.80   0.64   0.10
2013 A5    6.47   0.77   0.01
1999 B6    6.34   1.15   0.03
2000 B3    6.15   1.00   0.50
2013 B4    5.97   0.08   0.01
1997 B3    5.85   1.50   0.33
2003 B6    4.98   0.00   0.06
1999 A5    4.88   0.90   0.08
1996 B6    4.85   1.90   0.02
1996 A5    4.85   0.80   0.07
2002 A6    4.76   1.00   0.07
2012 A5    4.76   0.22   0.04
2000 B6    4.62   0.11   0.00
2006 B6    4.04   0.25   0.10
2015 A6    4.02   0.62   0.02
2009 A6    4.00   0.50   0.00
2014 A6    3.68   0.86   0.01
2005 A6    3.57   0.57   0.03
2012 A6    3.17   0.50   0.00
2011 B4    3.05   0.83   0.26
2012 A4    2.65   0.00   0.01
2000 A6    2.56   1.20   0.13
2005 B5    2.55   0.40   0.00
2004 B6    2.55   0.20   0.02
2009 B6    2.50   1.20   0.01
1995 A5    2.45   1.60   0.34
1995 B6    2.45   0.40   0.04
2007 B6    1.94   0.50   0.02
2012 B5    1.59   0.67   0.01
2014 B5    1.58   0.00   0.13
2011 A6    1.52   1.00   0.07
2015 B6    1.51   2.00   0.01
2013 A6    1.49   0.67   0.02
2007 A6    1.46   0.00   0.02
2016 A6    1.07   0.00   0.02
2014 B6    1.05   0.50   0.03
2001 B5    1.00   0.00   0.05
1995 A6    0.98   1.00   0.00
1997 A6    0.98   1.50   0.12
2011 A5    0.51   0.00   0.00
2006 A6    0.51   0.00   0.01
2001 A6    0.50   0.00   0.01
2013 B6    0.00   0.00   0.03
2014 A5    0.00   0.00   0.03
1999 B5    0.00   0.00   0.01
1999 B4    0.00   0.00   0.01
2011 B6    0.00   0.00   0.00
